image_url,title,book_id,authors,original_publication_year,language_code
https://images.gr-assets.com/books/1447303603m/2767052.jpg,"The Hunger Games (The Hunger Games, #1)",1,Suzanne Collins,2008.0,eng
https://images.gr-assets.com/books/1474154022m/3.jpg,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",2,"J.K. Rowling, Mary GrandPré",1997.0,eng
https://images.gr-assets.com/books/1361039443m/41865.jpg,"Twilight (Twilight, #1)",3,Stephenie Meyer,2005.0,en-US
https://images.gr-assets.com/books/1361975680m/2657.jpg,To Kill a Mockingbird,4,Harper Lee,1960.0,eng
https://images.gr-assets.com/books/1490528560m/4671.jpg,The Great Gatsby,5,F. Scott Fitzgerald,1925.0,eng
https://images.gr-assets.com/books/1360206420m/11870085.jpg,The Fault in Our Stars,6,John Green,2012.0,eng
https://images.gr-assets.com/books/1372847500m/5907.jpg,The Hobbit,7,J.R.R. Tolkien,1937.0,en-US
https://images.gr-assets.com/books/1398034300m/5107.jpg,The Catcher in the Rye,8,J.D. Salinger,1951.0,eng
https://images.gr-assets.com/books/1303390735m/960.jpg,"Angels & Demons  (Robert Langdon, #1)",9,Dan Brown,2000.0,en-CA
https://images.gr-assets.com/books/1320399351m/1885.jpg,Pride and Prejudice,10,Jane Austen,1813.0,eng
https://images.gr-assets.com/books/1484565687m/77203.jpg,The Kite Runner,11,Khaled Hosseini,2003.0,eng
https://images.gr-assets.com/books/1328559506m/13335037.jpg,"Divergent (Divergent, #1)",12,Veronica Roth,2011.0,eng
https://images.gr-assets.com/books/1348990566m/5470.jpg,1984,13,"George Orwell, Erich Fromm, Celâl Üster",1949.0,eng
https://images.gr-assets.com/books/1424037542m/7613.jpg,Animal Farm,14,George Orwell,1945.0,eng
https://images.gr-assets.com/books/1358276407m/48855.jpg,The Diary of a Young Girl,15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,eng
https://images.gr-assets.com/books/1327868566m/2429135.jpg,"The Girl with the Dragon Tattoo (Millennium, #1)",16,"Stieg Larsson, Reg Keeland",2005.0,eng
https://images.gr-assets.com/books/1358273780m/6148028.jpg,"Catching Fire (The Hunger Games, #2)",17,Suzanne Collins,2009.0,eng
https://images.gr-assets.com/books/1499277281m/5.jpg,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,eng
https://images.gr-assets.com/books/1298411339m/34.jpg,"The Fellowship of the Ring (The Lord of the Rings, #1)",19,J.R.R. Tolkien,1954.0,eng
https://images.gr-assets.com/books/1358275419m/7260188.jpg,"Mockingjay (The Hunger Games, #3)",20,Suzanne Collins,2010.0,eng
https://images.gr-assets.com/books/1387141547m/2.jpg,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",21,"J.K. Rowling, Mary GrandPré",2003.0,eng
https://images.gr-assets.com/books/1457810586m/12232938.jpg,The Lovely Bones,22,Alice Sebold,2002.0,eng
https://images.gr-assets.com/books/1474169725m/15881.jpg,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",23,"J.K. Rowling, Mary GrandPré",1998.0,eng
https://images.gr-assets.com/books/1361482611m/6.jpg,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",24,"J.K. Rowling, Mary GrandPré",2000.0,eng
https://images.gr-assets.com/books/1474171184m/136251.jpg,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",25,"J.K. Rowling, Mary GrandPré",2007.0,eng
https://images.gr-assets.com/books/1303252999m/968.jpg,"The Da Vinci Code (Robert Langdon, #2)",26,Dan Brown,2003.0,eng
https://images.gr-assets.com/books/1361039191m/1.jpg,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",27,"J.K. Rowling, Mary GrandPré",2005.0,eng
https://images.gr-assets.com/books/1327869409m/7624.jpg,Lord of the Flies,28,William Golding,1954.0,eng
https://images.gr-assets.com/books/1327872146m/18135.jpg,Romeo and Juliet,29,"William Shakespeare, Robert           Jackson",1595.0,eng
https://images.gr-assets.com/books/1339602131m/8442457.jpg,Gone Girl,30,Gillian Flynn,2012.0,eng
https://images.gr-assets.com/books/1346100365m/4667024.jpg,The Help,31,Kathryn Stockett,2009.0,eng
https://images.gr-assets.com/books/1437235233m/890.jpg,Of Mice and Men,32,John Steinbeck,1937.0,eng
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Memoirs of a Geisha,33,Arthur Golden,1997.0,eng
https://images.gr-assets.com/books/1385207843m/10818853.jpg,"Fifty Shades of Grey (Fifty Shades, #1)",34,E.L. James,2011.0,eng
https://images.gr-assets.com/books/1483412266m/865.jpg,The Alchemist,35,"Paulo Coelho, Alan R. Clarke",1988.0,eng
https://images.gr-assets.com/books/1342493368m/3636.jpg,"The Giver (The Giver, #1)",36,Lois Lowry,1993.0,eng
https://images.gr-assets.com/books/1353029077m/100915.jpg,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",37,C.S. Lewis,1950.0,eng
https://images.gr-assets.com/books/1437728815m/14050.jpg,The Time Traveler's Wife,38,Audrey Niffenegger,2003.0,eng
https://images.gr-assets.com/books/1436732693m/13496.jpg,"A Game of Thrones (A Song of Ice and Fire, #1)",39,George R.R. Martin,1996.0,eng
https://images.gr-assets.com/books/1503066414m/19501.jpg,"Eat, Pray, Love",40,Elizabeth Gilbert,2006.0,eng
https://images.gr-assets.com/books/1400602609m/28187.jpg,"The Lightning Thief (Percy Jackson and the Olympians, #1)",41,Rick Riordan,2005.0,eng
https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Little Women (Little Women, #1)",42,Louisa May Alcott,1868.0,en-US
https://images.gr-assets.com/books/1327867269m/10210.jpg,Jane Eyre,43,"Charlotte Brontë, Michael Mason",1847.0,eng
https://images.gr-assets.com/books/1385738917m/15931.jpg,"The Notebook (The Notebook, #1)",44,Nicholas Sparks,1996.0,eng
https://images.gr-assets.com/books/1320562005m/4214.jpg,Life of Pi,45,Yann Martel,2001.0,
https://images.gr-assets.com/books/1494428973m/43641.jpg,Water for Elephants,46,Sara Gruen,2006.0,eng
https://images.gr-assets.com/books/1390053681m/19063.jpg,The Book Thief,47,Markus Zusak,2005.0,eng
https://images.gr-assets.com/books/1351643740m/4381.jpg,Fahrenheit 451,48,Ray Bradbury,1953.0,spa
https://images.gr-assets.com/books/1361039440m/49041.jpg,"New Moon (Twilight, #2)",49,Stephenie Meyer,2006.0,eng
https://images.gr-assets.com/books/1168052448m/30119.jpg,Where the Sidewalk Ends,50,Shel Silverstein,1974.0,eng
https://images.gr-assets.com/books/1432730315m/256683.jpg,"City of Bones (The Mortal Instruments, #1)",51,Cassandra Clare,2007.0,eng
https://images.gr-assets.com/books/1361038355m/428263.jpg,"Eclipse (Twilight, #3)",52,Stephenie Meyer,2007.0,en-US
https://images.gr-assets.com/books/1366212852m/113436.jpg,"Eragon (The Inheritance Cycle, #1)",53,Christopher Paolini,2002.0,en-US
https://images.gr-assets.com/books/1327656754m/11.jpg,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",54,Douglas Adams,1979.0,en-US
https://images.gr-assets.com/books/1487389574m/5129.jpg,Brave New World,55,Aldous Huxley,1932.0,eng
https://images.gr-assets.com/books/1361039438m/1162543.jpg,"Breaking Dawn (Twilight, #4)",56,Stephenie Meyer,2008.0,en-US
https://images.gr-assets.com/books/1473454532m/37435.jpg,The Secret Life of Bees,57,Sue Monk Kidd,2001.0,en-US
https://images.gr-assets.com/books/1405973850m/2956.jpg,The Adventures of Huckleberry Finn,58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,eng
https://images.gr-assets.com/books/1439632243m/24178.jpg,Charlotte's Web,59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,eng
https://images.gr-assets.com/books/1479863624m/1618.jpg,The Curious Incident of the Dog in the Night-Time,60,Mark Haddon,2003.0,eng
